active_vehicles,is_weekend,month,day,trips_rolling_mean_3,trips_rolling_mean_7,lag_1,lag_2,lag_3
295,0,1,29,15069.333333333334,13983.285714285714,11485.0,31637.0,12600.0
250,0,1,29,5086.0,12792.142857142857,2086.0,11485.0,31637.0
1082,0,1,29,4424.0,10129.57142857143,1687.0,2086.0,11485.0
322,0,1,30,4657.0,10254.142857142857,9499.0,1687.0,2086.0
1106,0,1,30,7817.0,10049.42857142857,2785.0,9499.0,1687.0
4124,0,1,30,17687.333333333332,11117.0,11167.0,2785.0,9499.0
1384,0,1,30,21376.33333333333,11455.142857142857,39110.0,11167.0,2785.0
1501,0,1,30,22585.0,13270.42857142857,13852.0,39110.0,11167.0
256,0,1,30,10220.333333333334,13317.42857142857,14793.0,13852.0,39110.0
309,1,1,31,6697.0,12429.285714285714,2016.0,14793.0,13852.0
225,1,1,31,2396.6666666666665,12301.714285714286,3282.0,2016.0,14793.0
1394,1,1,31,6976.666666666667,12957.285714285714,1892.0,3282.0,2016.0
1321,1,1,31,11012.0,9568.42857142857,15756.0,1892.0,3282.0
3947,1,1,31,25147.0,13917.714285714286,15388.0,15756.0,1892.0
1027,1,1,31,23775.666666666668,13467.57142857143,44297.0,15388.0,15756.0
3740,1,2,1,31135.666666666668,18532.14285714286,11642.0,44297.0,15388.0
1355,1,2,1,20856.0,19985.85714285714,37468.0,11642.0,44297.0
289,1,2,1,17866.0,20097.285714285717,13458.0,37468.0,11642.0
193,1,2,1,5835.666666666667,18043.14285714286,2672.0,13458.0,37468.0
1214,1,2,1,5495.0,17621.428571428572,1377.0,2672.0,13458.0
961,1,2,1,7770.666666666667,12650.285714285714,12436.0,1377.0,2672.0
1217,0,2,2,11383.666666666666,12732.285714285714,9499.0,12436.0,1377.0
1152,0,2,2,11232.0,9091.285714285714,12216.0,9499.0,12436.0
275,0,2,2,8934.666666666666,7541.142857142857,11981.0,12216.0,9499.0
939,0,2,2,8033.0,8518.142857142857,2607.0,11981.0,12216.0
3270,0,2,2,14293.0,12715.857142857143,9511.0,2607.0,11981.0
227,0,2,2,14058.666666666666,11211.285714285714,30761.0,9511.0,2607.0
1269,0,2,3,14873.333333333334,11562.142857142857,1904.0,30761.0,9511.0
1350,0,2,3,8841.333333333334,11626.285714285714,11955.0,1904.0,30761.0
3674,0,2,3,18753.666666666668,14434.857142857143,12665.0,11955.0,1904.0
991,0,2,3,17969.333333333332,15434.142857142857,31641.0,12665.0,11955.0
299,0,2,3,14551.0,14419.714285714286,9602.0,31641.0,12665.0
257,0,2,3,4642.333333333333,10298.857142857143,2410.0,9602.0,31641.0
3856,0,2,4,11439.666666666666,14311.714285714286,1915.0,2410.0,9602.0
309,0,2,4,11414.333333333334,12937.285714285714,29994.0,1915.0,2410.0
244,0,2,4,11322.333333333334,11362.142857142857,2334.0,29994.0,1915.0
1311,0,2,4,5094.0,8457.57142857143,1639.0,2334.0,29994.0
1393,0,2,4,8302.333333333334,8794.285714285714,11309.0,1639.0,2334.0
1072,0,2,4,10956.0,9821.42857142857,11959.0,11309.0,1639.0
1179,0,2,5,11056.0,11206.285714285714,9600.0,11959.0,11309.0
4093,0,2,5,19066.33333333333,12062.857142857143,11609.0,9600.0,11959.0
355,0,2,5,16870.0,12159.57142857143,35990.0,11609.0,9600.0
1418,0,2,5,17594.333333333332,13894.285714285714,3011.0,35990.0,11609.0
1524,0,2,5,10430.666666666666,14350.0,13782.0,3011.0,35990.0
264,0,2,5,10101.0,12930.42857142857,14499.0,13782.0,3011.0
4170,0,2,6,18404.666666666668,17086.571428571428,2022.0,14499.0,13782.0
1526,0,2,6,18710.666666666668,17630.571428571428,38693.0,2022.0,14499.0
385,0,2,6,19226.33333333333,12999.0,15417.0,38693.0,2022.0
1181,0,2,6,10294.333333333334,14268.42857142857,3569.0,15417.0,38693.0
261,0,2,6,5818.333333333333,12583.714285714286,11897.0,3569.0,15417.0
1414,0,2,6,9420.333333333334,12566.0,1989.0,11897.0,3569.0
